,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_target_object,test_type,model
70,0.0003512026894162478,1.0,15,0.0004285634406967022,1.0,15,0.0018072747143378365,0.999609375,15,RubberDuck,target_object,resnext-saycam(S)-v
71,0.00030416601966790904,1.0,15,0.0003283184631592511,1.0,15,0.015098673111060635,0.99765625,15,Teddy,target_object,resnext-saycam(S)-v
72,0.0002716127116432811,1.0,16,0.0002447209187396636,1.0,16,0.2883062891662121,0.8921875,16,BeachBall,target_object,resnext-saycam(S)-hv
73,0.0005649732757799636,1.0,11,0.0005444107108425149,1.0,11,0.017954994941828773,0.99453125,11,Knight,target_object,resnext-saycam(S)-hv
74,0.0004956695950266279,1.0,13,0.0004375453900138382,1.0,13,0.13448910722509028,0.938671875,13,Lego,target_object,resnext-saycam(S)-hv
75,0.0005207419803648131,1.0,11,0.00046418797657159824,1.0,11,0.15338548230938615,0.94765625,11,Pineapple,target_object,resnext-saycam(S)-hv
76,0.00046700717298209986,1.0,11,0.0005818500223020757,1.0,11,0.4957682445645332,0.863671875,11,PingPong,target_object,resnext-saycam(S)-hv
77,0.0005155111223725205,1.0,11,0.000618104209154678,1.0,11,0.10294458754360676,0.95390625,11,Robot,target_object,resnext-saycam(S)-hv
78,0.0006210592125814865,1.0,12,0.000663786855251861,1.0,12,0.00597051257500425,0.999609375,12,RubberDuck,target_object,resnext-saycam(S)-hv
79,0.0003772472278768309,1.0,13,0.00040883721937591745,1.0,13,0.03687891833251342,0.9921875,13,Teddy,target_object,resnext-saycam(S)-hv
80,0.0005081687874911655,1.0,19,0.0005936409938190731,1.0,19,0.0022516538192576263,1.0,19,BeachBall,target_object,resnext-DINO-S
81,0.0006227317967764084,1.0,16,0.0007033382571535185,1.0,16,0.002394933304822189,0.999609375,16,Knight,target_object,resnext-DINO-S
82,0.0005579676024914626,1.0,15,0.0006539160209026054,1.0,15,0.5328619956970215,0.858203125,15,Lego,target_object,resnext-DINO-S
83,0.0006763134110428388,1.0,17,0.0008201503473433799,1.0,17,0.0017676503157417756,1.0,17,Pineapple,target_object,resnext-DINO-S
84,0.0005126744632980981,1.0,16,0.0006264038893277757,1.0,16,0.034200381580740215,0.992578125,16,PingPong,target_object,resnext-DINO-S
85,0.000425171599978316,1.0,17,0.0005217510136260119,1.0,17,0.10589267807081341,0.942578125,17,Robot,target_object,resnext-DINO-S
86,0.000465145181950086,1.0,18,0.0005436184411727092,1.0,18,0.013123436440946535,0.998828125,18,RubberDuck,target_object,resnext-DINO-S
87,0.0007826324311644576,1.0,16,0.000740419008902141,1.0,16,0.032819914689753205,0.99140625,16,Teddy,target_object,resnext-DINO-S
88,0.00039074799105911075,1.0,16,0.00045266483019596696,1.0,16,0.014715397061081603,0.99609375,16,BeachBall,target_object,resnext-DINO-ImageNet
89,0.00044614634357512193,1.0,16,0.00043831023400083983,1.0,16,0.005800843268661993,0.999609375,16,Knight,target_object,resnext-DINO-ImageNet
90,0.0004676360564304998,1.0,15,0.0004944301960806895,1.0,15,0.2917305264621973,0.90625,15,Lego,target_object,resnext-DINO-ImageNet
91,0.0005265881193883665,1.0,15,0.0005843601876612021,1.0,15,0.0036454564629821106,1.0,15,Pineapple,target_object,resnext-DINO-ImageNet
92,0.0003689169224606792,1.0,18,0.0004222575704001689,1.0,18,0.012232316470181104,0.99921875,18,PingPong,target_object,resnext-DINO-ImageNet
93,0.00035764138393054384,1.0,17,0.00035474183537839314,1.0,17,0.4295618809759617,0.90078125,17,Robot,target_object,resnext-DINO-ImageNet
94,0.0003612525653264276,1.0,18,0.0003421495571923775,1.0,18,0.0037657032517017797,0.999609375,18,RubberDuck,target_object,resnext-DINO-ImageNet
95,0.000547124010475959,1.0,15,0.0005407558414195332,1.0,15,0.0007925311976578087,1.0,15,Teddy,target_object,resnext-DINO-ImageNet
