,model,example_index,configuration_index,reference_object,target_object,containment_high_containment_cos,containment_behind_cos,containment_support_cos,high_containment_behind_cos,high_containment_support_cos,behind_support_cos
642,resnext-imagenet,2,0,Basket,Lego,0.853209912776947,0.836568295955658,0.7867029905319214,0.8295358419418335,0.8081765174865723,0.807083785533905
643,resnext-imagenet,3,0,Basket,Pineapple,0.828538715839386,0.8565462827682495,0.7339532375335693,0.8648256659507751,0.6980765461921692,0.8448196649551392
644,resnext-imagenet,4,0,Basket,Robot,0.7812846899032593,0.8511165976524353,0.7790849208831787,0.852235734462738,0.7490045428276062,0.8178611397743225
645,resnext-imagenet,5,0,Basket,RubberDuck,0.8527421951293945,0.8663896918296814,0.7941068410873413,0.8473445177078247,0.7949603199958801,0.8202437162399292
646,resnext-imagenet,6,0,Basket,Teddy,0.8376640677452087,0.8577449321746826,0.7177940607070923,0.8228177428245544,0.7004750967025757,0.7723630666732788
647,resnext-imagenet,7,0,Basket,Truck,0.8343948721885681,0.8350973129272461,0.7756294012069702,0.8741784691810608,0.8361682891845703,0.812152087688446
648,resnext-imagenet,8,0,WoodenBasket,BeachBall,0.7955977320671082,0.8056536912918091,0.8056228756904602,0.8381724953651428,0.8352435231208801,0.8168254494667053
649,resnext-imagenet,9,0,WoodenBasket,Knight,0.7479413151741028,0.7711659073829651,0.7475147247314453,0.8813542127609253,0.7941001653671265,0.8081337213516235
650,resnext-imagenet,10,0,WoodenBasket,Lego,0.7996543049812317,0.767294704914093,0.7005289793014526,0.8437832593917847,0.7480882406234741,0.7147749662399292
651,resnext-imagenet,11,0,WoodenBasket,Pineapple,0.6991676688194275,0.779556930065155,0.6640392541885376,0.8482539653778076,0.6550378799438477,0.7599456310272217
652,resnext-imagenet,12,0,WoodenBasket,Robot,0.708202064037323,0.7773308157920837,0.6722056269645691,0.8246999382972717,0.7015293836593628,0.7304770946502686
653,resnext-imagenet,13,0,WoodenBasket,RubberDuck,0.7516658902168274,0.750092089176178,0.7361453175544739,0.7688691020011902,0.7756427526473999,0.736124575138092
654,resnext-imagenet,14,0,WoodenBasket,Teddy,0.7277233600616455,0.7177445292472839,0.6703003644943237,0.7438116073608398,0.7065381407737732,0.6922450065612793
655,resnext-imagenet,15,0,WoodenBasket,Truck,0.7855837345123291,0.8027380704879761,0.6707243323326111,0.8448503017425537,0.7408623695373535,0.6882733106613159
656,resnext-imagenet,16,1,Basket,BeachBall,0.7925612330436707,0.8373251557350159,0.80379718542099,0.8743765354156494,0.8710263967514038,0.8641576170921326
657,resnext-imagenet,17,1,Basket,Knight,0.7705193161964417,0.8263254761695862,0.788019597530365,0.874163806438446,0.7711817026138306,0.8635144233703613
658,resnext-imagenet,18,1,Basket,Lego,0.8777011632919312,0.8344463109970093,0.7946887016296387,0.856448769569397,0.8454006314277649,0.8616651296615601
659,resnext-imagenet,19,1,Basket,Pineapple,0.790313720703125,0.8426216244697571,0.769507110118866,0.8907642364501953,0.7427940964698792,0.8485345244407654
660,resnext-imagenet,20,1,Basket,Robot,0.7452977299690247,0.8287498354911804,0.7691245675086975,0.7982664108276367,0.7392597198486328,0.8108686804771423
661,resnext-imagenet,21,1,Basket,RubberDuck,0.8209772109985352,0.8402377963066101,0.8001725673675537,0.7983880639076233,0.8256719708442688,0.7964305281639099
662,resnext-imagenet,22,1,Basket,Teddy,0.8125075697898865,0.8185532689094543,0.7134605050086975,0.7989060878753662,0.7246056795120239,0.7804992198944092
663,resnext-imagenet,23,1,Basket,Truck,0.8597855567932129,0.8549211025238037,0.7632126808166504,0.8912957310676575,0.8472471833229065,0.8217996954917908
664,resnext-imagenet,24,1,WoodenBasket,BeachBall,0.7851554155349731,0.7868699431419373,0.7846960425376892,0.843239963054657,0.8518328070640564,0.8102964758872986
665,resnext-imagenet,25,1,WoodenBasket,Knight,0.7911019325256348,0.7697650790214539,0.737903356552124,0.8738386631011963,0.7284138798713684,0.7519016861915588
666,resnext-imagenet,26,1,WoodenBasket,Lego,0.7600094079971313,0.7849751710891724,0.6873838901519775,0.8570689558982849,0.7112116813659668,0.7461422085762024
667,resnext-imagenet,27,1,WoodenBasket,Pineapple,0.6999949812889099,0.7983444333076477,0.6964843273162842,0.8581070899963379,0.6817330121994019,0.7559099197387695
668,resnext-imagenet,28,1,WoodenBasket,Robot,0.7046598196029663,0.7585857510566711,0.6622180342674255,0.8004978895187378,0.6878846883773804,0.7231226563453674
669,resnext-imagenet,29,1,WoodenBasket,RubberDuck,0.7188728451728821,0.782177746295929,0.7063400149345398,0.7693798542022705,0.787882387638092,0.7216489911079407
670,resnext-imagenet,30,1,WoodenBasket,Teddy,0.7724294066429138,0.7757824659347534,0.6581913232803345,0.8015892505645752,0.718351423740387,0.7106218338012695
671,resnext-imagenet,31,1,WoodenBasket,Truck,0.7572190165519714,0.8301957845687866,0.6431899666786194,0.8428836464881897,0.75327068567276,0.6911087036132812
672,resnext-imagenet,32,2,Basket,BeachBall,0.7920070886611938,0.8558346629142761,0.812774121761322,0.8561192154884338,0.8535905480384827,0.8888909220695496
673,resnext-imagenet,33,2,Basket,Knight,0.7716255187988281,0.8393474221229553,0.8209266662597656,0.8502399921417236,0.7660021185874939,0.8772482872009277
674,resnext-imagenet,34,2,Basket,Lego,0.863505482673645,0.8376457691192627,0.8009334206581116,0.8444174528121948,0.8274846076965332,0.832759439945221
675,resnext-imagenet,35,2,Basket,Pineapple,0.7660201191902161,0.8398403525352478,0.77059406042099,0.856925368309021,0.7285206317901611,0.8477200865745544
676,resnext-imagenet,36,2,Basket,Robot,0.7342087626457214,0.8551288843154907,0.7533344030380249,0.7986577153205872,0.7325848340988159,0.8043394684791565
677,resnext-imagenet,37,2,Basket,RubberDuck,0.8018405437469482,0.8388411402702332,0.7743895053863525,0.8081757426261902,0.8126901984214783,0.8380151987075806
678,resnext-imagenet,38,2,Basket,Teddy,0.8055099844932556,0.8393972516059875,0.7544347047805786,0.7710704803466797,0.6961873769760132,0.8267580270767212
679,resnext-imagenet,39,2,Basket,Truck,0.8391914963722229,0.8420258164405823,0.778472363948822,0.860493540763855,0.8410430550575256,0.8422207832336426
680,resnext-imagenet,40,2,WoodenBasket,BeachBall,0.8097091317176819,0.7993314266204834,0.8248801827430725,0.8137442469596863,0.8443642258644104,0.8013078570365906
681,resnext-imagenet,41,2,WoodenBasket,Knight,0.7403629422187805,0.7785232067108154,0.7613221406936646,0.8477067947387695,0.7403311729431152,0.7952299118041992
682,resnext-imagenet,42,2,WoodenBasket,Lego,0.8112578392028809,0.7881750464439392,0.7124676704406738,0.8391170501708984,0.7651731967926025,0.7699189782142639
683,resnext-imagenet,43,2,WoodenBasket,Pineapple,0.7046215534210205,0.7903938889503479,0.6920003890991211,0.8138216733932495,0.6805708408355713,0.7415022850036621
684,resnext-imagenet,44,2,WoodenBasket,Robot,0.7010306715965271,0.7773729562759399,0.6780588626861572,0.7662782073020935,0.7081902623176575,0.6843761801719666
685,resnext-imagenet,45,2,WoodenBasket,RubberDuck,0.7450241446495056,0.7733700275421143,0.7195445895195007,0.7472710013389587,0.7949010133743286,0.7578326463699341
686,resnext-imagenet,46,2,WoodenBasket,Teddy,0.7412286996841431,0.7440199851989746,0.6711096167564392,0.7086619138717651,0.7117012143135071,0.6884745359420776
687,resnext-imagenet,47,2,WoodenBasket,Truck,0.7818477153778076,0.8328798413276672,0.6858280301094055,0.8281713724136353,0.7757500410079956,0.7098328471183777
688,resnext-imagenet,48,3,Basket,BeachBall,0.7990906238555908,0.8283342123031616,0.8335168361663818,0.8657781481742859,0.881156325340271,0.8803113102912903
689,resnext-imagenet,49,3,Basket,Knight,0.832888126373291,0.8338792324066162,0.8153823614120483,0.8875817060470581,0.799826979637146,0.8602968454360962
690,resnext-imagenet,50,3,Basket,Lego,0.8312622308731079,0.8276167511940002,0.7979562282562256,0.8278615474700928,0.84190833568573,0.8429006934165955
691,resnext-imagenet,51,3,Basket,Pineapple,0.7847970128059387,0.8245396018028259,0.7985494136810303,0.855686604976654,0.7643159627914429,0.8698065876960754
692,resnext-imagenet,52,3,Basket,Robot,0.7502924799919128,0.8142533898353577,0.7642293572425842,0.7980100512504578,0.7577211856842041,0.8111530542373657
693,resnext-imagenet,53,3,Basket,RubberDuck,0.810843825340271,0.8465027809143066,0.7971672415733337,0.8140231966972351,0.8275829553604126,0.8092365264892578
694,resnext-imagenet,54,3,Basket,Teddy,0.8042758703231812,0.8336957693099976,0.7448326945304871,0.7611261010169983,0.7151212096214294,0.8269583582878113
695,resnext-imagenet,55,3,Basket,Truck,0.8290948867797852,0.8483641743659973,0.7639749050140381,0.8713558912277222,0.8168662190437317,0.8087307214736938
696,resnext-imagenet,56,3,WoodenBasket,BeachBall,0.8001986742019653,0.8038937449455261,0.8362143039703369,0.8366954922676086,0.8632705211639404,0.8122649788856506
697,resnext-imagenet,57,3,WoodenBasket,Knight,0.7860493659973145,0.7703038454055786,0.7987582087516785,0.8501806259155273,0.7452107667922974,0.7702303528785706
698,resnext-imagenet,58,3,WoodenBasket,Lego,0.7645814418792725,0.809769332408905,0.7214272618293762,0.8256687521934509,0.7698994874954224,0.7640020251274109
699,resnext-imagenet,59,3,WoodenBasket,Pineapple,0.7399461269378662,0.7770840525627136,0.7307541966438293,0.8508647680282593,0.6867439150810242,0.7541841864585876
700,resnext-imagenet,60,3,WoodenBasket,Robot,0.6902969479560852,0.7591031193733215,0.6714493632316589,0.775793194770813,0.7166834473609924,0.7054672837257385
701,resnext-imagenet,61,3,WoodenBasket,RubberDuck,0.7604694962501526,0.7634627223014832,0.7637061476707458,0.7614649534225464,0.8148666024208069,0.7578325271606445
702,resnext-imagenet,62,3,WoodenBasket,Teddy,0.7665210962295532,0.7471078634262085,0.7148302793502808,0.7445588111877441,0.7456177473068237,0.7352452874183655
703,resnext-imagenet,63,3,WoodenBasket,Truck,0.7704351544380188,0.8654087781906128,0.6959815621376038,0.8409329652786255,0.7629048228263855,0.7044354677200317
704,resnext-imagenet,64,4,Basket,BeachBall,0.797448456287384,0.8470396399497986,0.810184121131897,0.8726392984390259,0.8652468919754028,0.8539713621139526
