original_index,configuration_index,example_index,scene_type,reference_object,target_object,target_pixel_count,reference_pixel_count,target_count_diff,target_count_ratio,reference_count_diff,reference_count_ratio
9345,58,1857,Behind,Basket,Knight,4315,50587,-2937,0.5950082735797021,17408,1.5246692184815698
9346,58,1858,Behind,Basket,Lego,5100,50587,-2264,0.6925583921781641,20575,1.6855591096894575
9347,58,1859,Behind,Basket,Pineapple,4147,50587,-2179,0.6555485298766993,17051,1.5084386927480915
9348,58,1860,Behind,Basket,PingPong,3521,50587,-3774,0.48265935572309804,20182,1.6637724058543002
9349,58,1861,Behind,Basket,Robot,2823,50587,-2173,0.5650520416333067,16957,1.5042224204579244
9350,58,1862,Behind,Basket,RubberDuck,2771,50587,-1300,0.6806681405060182,16953,1.5040435273830053
9351,58,1863,Behind,Basket,Teddy,7971,50587,-2337,0.7732828870779976,18592,1.581090795436787
9352,58,1864,Behind,CardboardBoxNoFlaps,BeachBall,10390,65802,4597,1.793543932332125,16129,1.3247035612908422
9353,58,1865,Behind,CardboardBoxNoFlaps,Knight,5354,65802,155,1.0298134256587805,14680,1.2871562145455968
9354,58,1866,Behind,CardboardBoxNoFlaps,Lego,7407,65802,4999,3.075996677740864,14722,1.2882145653876274
9355,58,1867,Behind,CardboardBoxNoFlaps,Pineapple,5581,65802,1400,1.3348481224587418,14215,1.2755539186229088
9356,58,1868,Behind,CardboardBoxNoFlaps,PingPong,6088,65802,3416,2.2784431137724552,14859,1.2916789352806077
9357,58,1869,Behind,CardboardBoxNoFlaps,Robot,3799,65802,545,1.1674861708666258,14407,1.2803190971884424
9358,58,1870,Behind,CardboardBoxNoFlaps,RubberDuck,4822,65802,2851,2.4464738711314054,14078,1.2721753924677133
9359,58,1871,Behind,CardboardBoxNoFlaps,Teddy,10117,65802,2376,1.3069370882314946,15554,1.3095446584938704
9360,58,1872,Behind,ShortBoxNoFlaps,BeachBall,10390,47548,4596,1.7932343803935105,12704,1.3645964872000917
9361,58,1873,Behind,ShortBoxNoFlaps,Knight,5354,47548,155,1.0298134256587805,11254,1.3100788009037307
9362,58,1874,Behind,ShortBoxNoFlaps,Lego,7407,47548,4997,3.07344398340249,11298,1.3116689655172413
9363,58,1875,Behind,ShortBoxNoFlaps,Pineapple,5581,47548,1400,1.3348481224587418,10789,1.2935063521858592
9364,58,1876,Behind,ShortBoxNoFlaps,PingPong,6088,47548,3416,2.2784431137724552,11433,1.3165720614703031
9365,58,1877,Behind,ShortBoxNoFlaps,Robot,3799,47548,545,1.1674861708666258,10981,1.3002980829709847
9366,58,1878,Behind,ShortBoxNoFlaps,RubberDuck,4822,47548,2849,2.4439939178915355,10654,1.2887732422616143
9367,58,1879,Behind,ShortBoxNoFlaps,Teddy,10117,47548,2376,1.3069370882314946,12128,1.3424054206662903
9368,58,1880,Behind,WoodenBasket,BeachBall,7370,56495,-2319,0.7606564144906595,24254,1.7522719518625354
9369,58,1881,Behind,WoodenBasket,Knight,4072,56489,-3094,0.568238905944739,20878,1.5862795203729185
9370,58,1882,Behind,WoodenBasket,Lego,3999,56494,-2565,0.6092321755027422,22902,1.6817694689211717
9371,58,1883,Behind,WoodenBasket,Pineapple,3750,56495,-2373,0.6124448799608035,20346,1.5628371462557746
9372,58,1884,Behind,WoodenBasket,PingPong,2359,56495,-3972,0.37261096193334386,22599,1.666715836676894
9373,58,1885,Behind,WoodenBasket,Robot,2508,56444,-2395,0.5115235570059148,20136,1.5545885204362675
9374,58,1886,Behind,WoodenBasket,RubberDuck,2292,56495,-1727,0.5702911171933317,20346,1.5628371462557746
9375,58,1887,Behind,WoodenBasket,Teddy,7295,56495,-2713,0.7289168665067945,22048,1.6400557378000986
9376,58,1856,Far Behind,Basket,BeachBall,5624,50587,-4709,0.5442756217942514,21192,1.72093893519306
9377,58,1857,Far Behind,Basket,Knight,4284,50587,-2968,0.5907335907335908,17408,1.5246692184815698
9378,58,1858,Far Behind,Basket,Lego,4904,50587,-2460,0.665942422596415,20575,1.6855591096894575
9379,58,1859,Far Behind,Basket,Pineapple,4178,50587,-2148,0.6604489408789124,17051,1.5084386927480915
9380,58,1860,Far Behind,Basket,PingPong,4163,50587,-3132,0.5706648389307745,20182,1.6637724058543002
9381,58,1861,Far Behind,Basket,Robot,4032,50587,-964,0.8070456365092074,16957,1.5042224204579244
9382,58,1862,Far Behind,Basket,RubberDuck,5195,50587,1124,1.276099238516335,16953,1.5040435273830053
9383,58,1863,Far Behind,Basket,Teddy,6267,50587,-4041,0.6079743888242142,18592,1.581090795436787
9384,58,1864,Far Behind,CardboardBoxNoFlaps,BeachBall,5624,65802,-169,0.9708268600034524,16129,1.3247035612908422
9385,58,1865,Far Behind,CardboardBoxNoFlaps,Knight,4284,65802,-915,0.8240046162723601,14680,1.2871562145455968
9386,58,1866,Far Behind,CardboardBoxNoFlaps,Lego,4904,65802,2496,2.036544850498339,14722,1.2882145653876274
9387,58,1867,Far Behind,CardboardBoxNoFlaps,Pineapple,4178,65802,-3,0.999282468309017,14215,1.2755539186229088
9388,58,1868,Far Behind,CardboardBoxNoFlaps,PingPong,4163,65802,1491,1.5580089820359282,14859,1.2916789352806077
9389,58,1869,Far Behind,CardboardBoxNoFlaps,Robot,4032,65802,778,1.2390903503380455,14407,1.2803190971884424
9390,58,1870,Far Behind,CardboardBoxNoFlaps,RubberDuck,5195,65802,3224,2.6357179096905123,14078,1.2721753924677133
9391,58,1871,Far Behind,CardboardBoxNoFlaps,Teddy,6267,65802,-1474,0.8095853248934246,15554,1.3095446584938704
9392,58,1872,Far Behind,ShortBoxNoFlaps,BeachBall,5624,47548,-170,0.9706593027269589,12704,1.3645964872000917
9393,58,1873,Far Behind,ShortBoxNoFlaps,Knight,4284,47548,-915,0.8240046162723601,11254,1.3100788009037307
9394,58,1874,Far Behind,ShortBoxNoFlaps,Lego,4904,47548,2494,2.0348547717842322,11298,1.3116689655172413
9395,58,1875,Far Behind,ShortBoxNoFlaps,Pineapple,4178,47548,-3,0.999282468309017,10789,1.2935063521858592
9396,58,1876,Far Behind,ShortBoxNoFlaps,PingPong,4163,47548,1491,1.5580089820359282,11433,1.3165720614703031
9397,58,1877,Far Behind,ShortBoxNoFlaps,Robot,4032,47548,778,1.2390903503380455,10981,1.3002980829709847
9398,58,1878,Far Behind,ShortBoxNoFlaps,RubberDuck,5195,47548,3222,2.633046122655854,10654,1.2887732422616143
9399,58,1879,Far Behind,ShortBoxNoFlaps,Teddy,6267,47548,-1474,0.8095853248934246,12128,1.3424054206662903
9400,58,1880,Far Behind,WoodenBasket,BeachBall,5624,56495,-4065,0.5804520590360203,24254,1.7522719518625354
9401,58,1881,Far Behind,WoodenBasket,Knight,4284,56495,-2882,0.5978230533072844,20884,1.5864480076380894
9402,58,1882,Far Behind,WoodenBasket,Lego,4904,56495,-1660,0.7471054235222425,22903,1.681799237913789
9403,58,1883,Far Behind,WoodenBasket,Pineapple,4178,56495,-1945,0.6823452555936632,20346,1.5628371462557746
9404,58,1884,Far Behind,WoodenBasket,PingPong,4163,56495,-2168,0.6575580477017848,22599,1.666715836676894
9405,58,1885,Far Behind,WoodenBasket,Robot,4032,56495,-871,0.822353661023863,20187,1.5559931695494107
9406,58,1886,Far Behind,WoodenBasket,RubberDuck,5195,56495,1176,1.2926101020154268,20346,1.5628371462557746
9407,58,1887,Far Behind,WoodenBasket,Teddy,6267,56495,-3741,0.6261990407673861,22048,1.6400557378000986
9408,58,1856,Support,Basket,BeachBall,25117,45192,14784,2.430755830833253,15797,1.5374043204626637
9409,58,1857,Support,Basket,Knight,16197,46813,8945,2.2334528405956977,13634,1.4109225715060731
9410,58,1858,Support,Basket,Lego,20117,46819,12753,2.7318033677349267,16807,1.5600093296014927
9411,58,1859,Support,Basket,Pineapple,15686,46858,9360,2.479607967119823,13322,1.397244751908397
9412,58,1860,Support,Basket,PingPong,15034,51038,7739,2.060863605209047,20633,1.678605492517678
9413,58,1861,Support,Basket,Robot,11083,49496,6087,2.2183746997598077,15866,1.471781147784716
9414,58,1862,Support,Basket,RubberDuck,20426,42983,16355,5.01744043232621,9349,1.277962775762621
